Time,C1,Trigs,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,TimeB,C1B,TrigsB,C3B,C4B,C5B,C6B,C7B,C8B,C9B,C10B,C11B,C12B,C13B
41.84,525302,768,-10615,-637205,-2175496,-7514864,-1030488,-7313798,501374,-460092,247192,219531,299652,41.76,424779,770,-66993,-729849,-2321398,-7669634,-1167371,-7489223,492608,-551801,147408,196651,299841
41.84,537453,768,-8755,-625498,-2142451,-7471699,-1001844,-7260305,498356,-451074,259295,215391,297358,41.76,527817,770,-12718,-646003,-2179771,-7512560,-1034328,-7315889,501991,-461543,249836,221185,299680
41.84,569437,768,12680,-595183,-2087459,-7405017,-951978,-7186306,502995,-416111,289641,224438,298213,41.76,536704,770,-8673,-634492,-2145684,-7468849,-1005662,-7263100,498937,-449400,263356,214822,297215
41.85,508113,768,-30927,-649304,-2139473,-7451964,-1009088,-7231845,483908,-473446,229548,185946,290545,41.76,579055,770,11731,-601726,-2088152,-7402497,-954208,-7188212,502974,-416754,298543,223201,297989
41.85,270475,768,-182262,-852046,-2414216,-7743431,-1283004,-7543278,435824,-701024,-12638,82733,275582,41.77,514982,770,-32591,-654838,-2139151,-7449418,-1011017,-7233264,484154,-473698,236642,185379,290242
41.85,180465,768,-234789,-934572,-2550159,-7896982,-1412655,-7714366,426633,-795507,-114466,57249,275687,41.77,275917,770,-182927,-859251,-2413997,-7741882,-1284990,-7546602,436343,-703057,-7023,83486,275278
41.85,158382,768,-247265,-955131,-2595439,-7954809,-1453899,-7781637,427092,-818653,-137353,57824,277130,41.77,180326,770,-235947,-944028,-2553621,-7898089,-1417749,-7719262,426105,-799583,-112563,58585,275086
41.85,115974,768,-276706,-996535,-2669590,-8040344,-1523005,-7877781,420300,-867534,-185350,43480,275244,41.77,158056,770,-246174,-964368,-2598069,-7952665,-1457464,-7785049,427410,-820499,-132328,60143,276861
41.86,200801,768,-214889,-921568,-2590794,-7966403,-1439890,-7804301,445461,-785474,-97737,96136,285378,41.77,107583,770,-278195,-1007372,-2672133,-8039098,-1526092,-7881841,420090,-867652,-182223,44967,275476
41.86,434782,768,-63799,-718485,-2315493,-7672507,-1164001,-7489608,492410,-555713,144870,198050,299855,41.78,135448,770,-256187,-982754,-2655645,-8028856,-1505912,-7873707,431660,-842409,-152870,66997,280343
75.77,197627,768,-184457,-857951,-2413376,-7540619,-1369496,-7499099,414482,-746108,-73316,-104566,254731,75.69,129210,770,-237791,-928273,-2480929,-7605591,-1442442,-7565935,392408,-828289,-152592,-148118,246347
75.78,423261,768,-39469,-664698,-2146002,-7254376,-1100805,-7189898,458774,-527516,159135,-7681,268526,75.69,209184,770,-184071,-859182,-2410775,-7536902,-1364870,-7498399,414971,-755090,-72926,-100695,255496
75.78,517587,768,13964,-584021,-2007941,-7097440,-969152,-7014142,467948,-431068,259174,15971,268656,75.7,434127,770,-41378,-666053,-2144182,-7251912,-1098411,-7190633,459163,-535766,160075,-5279,269280
75.78,523044,768,16461,-577144,-1977019,-7057712,-943794,-6967598,464874,-418513,266223,8803,266637,75.7,525817,770,7668,-589175,-2011408,-7097506,-968423,-7017988,467894,-442984,257595,16663,269307
75.78,546096,768,30035,-559215,-1942102,-7011085,-908313,-6913898,467348,-392847,290386,14409,266919,75.7,537856,770,15238,-577058,-1980196,-7056570,-941618,-6971868,467251,-426655,271685,15512,267932
75.78,541053,768,26863,-558055,-1924920,-6984845,-896792,-6881898,463155,-393944,287874,4799,264459,75.7,553079,770,25053,-560328,-1944296,-7008054,-907707,-6913465,467421,-406402,289272,15640,266960
75.79,320690,768,-115054,-745748,-2173127,-7248169,-1149235,-7163557,416555,-607227,63527,-94884,248660,75.7,552410,770,23722,-561719,-1930004,-6982982,-897445,-6882248,462947,-402220,287990,7385,264747
75.79,176824,768,-204412,-872889,-2368853,-7464253,-1340540,-7401074,394409,-755988,-89056,-143856,243764,75.71,332037,770,-120010,-751927,-2181298,-7249759,-1150413,-7166205,416163,-615223,61842,-93287,248945
75.79,156782,768,-214067,-891354,-2416910,-7520670,-1379433,-7468557,396240,-775949,-112204,-139868,246511,75.71,184078,770,-209347,-877918,-2374776,-7462668,-1339863,-7402229,394293,-759429,-89387,-143135,244131
75.79,126316,768,-231933,-919951,-2470064,-7586230,-1428437,-7543885,393414,-808431,-142056,-146371,245927,75.71,156842,770,-218778,-895995,-2420807,-7520494,-1379148,-7470425,396333,-780493,-112896,-141490,246644
75.79,134099,768,-220193,-911597,-2475662,-7601267,-1427096,-7565845,401063,-798390,-130568,-131622,250129,75.71,126485,770,-236029,-923037,-2473400,-7586600,-1429779,-7544486,393463,-813743,-143599,-148288,246737
75.79,350004,768,-74564,-717621,-2215387,-7327360,-1167167,-7272597,448205,-580499,100536,-32524,265955,75.71,144943,770,-221660,-910450,-2475129,-7596776,-1425763,-7560245,402082,-797015,-125944,-131409,250956
75.8,510823,768,21616,-582044,-2009091,-7097894,-965214,-7020539,472068,-425242,264174,22540,271626,75.71,372054,770,-76260,-714798,-2214362,-7322465,-1165910,-7264790,449480,-576935,108145,-29012,266717
75.8,512210,768,16975,-577479,-1979741,-7059485,-943287,-6973267,466692,-418044,268680,12469,267776,75.72,525558,770,18362,-579921,-2009144,-7096484,-966753,-7016767,472507,-425651,268742,24504,271768
75.8,539995,768,27204,-557240,-1939828,-7010056,-908202,-6913054,467478,-399114,289257,15074,267027,75.72,527104,770,15090,-582316,-1990454,-7070343,-953449,-6983364,467548,-424206,268813,14978,268423
75.8,564499,768,41304,-536857,-1901092,-6959965,-871150,-6857592,470788,-374609,314971,22424,267632,75.72,551249,770,25326,-564507,-1950033,-7018915,-917353,-6924152,467872,-403112,288392,16839,267609
75.8,378638,768,-81506,-702333,-2109119,-7177374,-1083813,-7087284,427140,-554150,116113,-69700,251849,75.72,573247,770,40351,-540298,-1906287,-6962667,-876275,-6860261,469873,-374858,314186,21164,267233
75.81,189336,768,-201708,-865150,-2348035,-7439509,-1320322,-7375326,393957,-742070,-83888,-144128,242724,75.72,383281,770,-85249,-704114,-2114442,-7180300,-1089061,-7090267,426291,-557821,121169,-72879,251678
